Date,Close
10/14/2016 23:58:00,11.92
10/15/2016 23:58:00,11.95
10/16/2016 23:58:00,11.95
10/17/2016 23:58:00,11.96
10/18/2016 23:58:00,12.54
10/19/2016 23:58:00,12.01
10/20/2016 23:58:00,12.06
10/21/2016 23:58:00,12.05
10/22/2016 23:58:00,12.03
10/23/2016 23:58:00,11.94
10/24/2016 23:58:00,11.92
10/25/2016 23:58:00,11.33
10/26/2016 23:58:00,11.49
10/27/2016 23:58:00,11.48
10/28/2016 23:58:00,11.13
10/29/2016 23:58:00,10.47
10/30/2016 23:58:00,11.19
10/31/2016 23:58:00,10.98
11/1/2016 23:58:00,10.84
11/2/2016 23:58:00,10.83
11/3/2016 23:58:00,10.87
11/4/2016 23:58:00,11.15
11/5/2016 23:58:00,11.16
11/6/2016 23:58:00,11.01
11/7/2016 23:58:00,10.93
11/8/2016 23:58:00,10.84
11/9/2016 23:58:00,10.62
11/10/2016 23:58:00,10.51
11/11/2016 23:58:00,10.29
11/12/2016 23:58:00,9.95
11/13/2016 23:58:00,10.14
11/14/2016 23:58:00,10.02
11/15/2016 23:58:00,10.27
11/16/2016 23:58:00,10
11/17/2016 23:58:00,9.91
11/18/2016 23:58:00,9.51
11/19/2016 23:58:00,9.68
11/20/2016 23:58:00,9.6
11/21/2016 23:58:00,9.54
11/22/2016 23:58:00,9.87
11/23/2016 23:58:00,9.8
11/24/2016 23:58:00,9.18
11/25/2016 23:58:00,9.4
11/26/2016 23:58:00,9.33
11/27/2016 23:58:00,8.98
11/28/2016 23:58:00,8.67
11/29/2016 23:58:00,8.14
11/30/2016 23:58:00,8.61
12/1/2016 23:58:00,8.45
12/2/2016 23:58:00,7.73
12/3/2016 23:58:00,7.86
12/4/2016 23:58:00,7.37
12/5/2016 23:58:00,6.75
12/6/2016 23:58:00,7.83
12/7/2016 23:58:00,8.35
12/8/2016 23:58:00,8.2
12/9/2016 23:58:00,8.47
12/10/2016 23:58:00,8.14
12/11/2016 23:58:00,8.23
12/12/2016 23:58:00,8.5
12/13/2016 23:58:00,8.41
12/14/2016 23:58:00,8.24
12/15/2016 23:58:00,7.83
12/16/2016 23:58:00,7.84
12/17/2016 23:58:00,7.85
12/18/2016 23:58:00,7.92
12/19/2016 23:58:00,7.64
12/20/2016 23:58:00,7.64
12/21/2016 23:58:00,7.91
12/22/2016 23:58:00,7.55
12/23/2016 23:58:00,7.13
12/24/2016 23:58:00,7.22
12/25/2016 23:58:00,7.19
12/26/2016 23:58:00,7.26
12/27/2016 23:58:00,7.16
12/28/2016 23:58:00,7.62
12/29/2016 23:58:00,8.29
12/30/2016 23:58:00,8.21
12/31/2016 23:58:00,8.16
1/1/2017 23:58:00,8.18
1/2/2017 23:58:00,8.38
1/3/2017 23:58:00,9.59
1/4/2017 23:58:00,11.17
1/5/2017 23:58:00,10.23
1/6/2017 23:58:00,10.14
1/7/2017 23:58:00,9.92
1/8/2017 23:58:00,10.5
1/9/2017 23:58:00,10.39
1/10/2017 23:58:00,10.63
1/11/2017 23:58:00,9.95
